offer_url,position_name,company_name,company_location,type-of-contract,work-schedule,work-modes,employment-level,immediate-employment,ukrainian-without-polish-language,vacancies
"https://www.pracuj.pl/praca/administrator-baz-danych-sql-server-warszawa,oferta,1001992499?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Administrator baz danych SQL Server","
eService Sp. z o.o.
",Warszawa,Umowa o pracę,Pełny etat,praca stacjonarna,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",praca od zaraz,,
"https://www.pracuj.pl/praca/senior-python-developer-warszawa,oferta,1001961308?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Senior Python Developer","
ASTEK Polska
","Warszawa, Śródmieście","Umowa o pracę, Kontrakt B2B",Pełny etat,praca zdalna,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",praca od zaraz,,
"https://www.pracuj.pl/praca/ekspert-ds-analizowania-i-raportowania-ryzyka-kredytowego-big-data-sas-warszawa,oferta,1001981388?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Ekspert ds. Analizowania i Raportowania Ryzyka Kredytowego Big Data/SAS","
PKO Bank Polski SA
",Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Ekspert,praca od zaraz,,
"https://www.pracuj.pl/praca/kierownik-zespolu-analityki-big-data-warszawa,oferta,1001981386?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Kierownik Zespołu Analityki Big Data","
PKO Bank Polski SA
","Warszawa, Mokotów",Umowa o pracę,Pełny etat,praca hybrydowa,Kierownik / Koordynator,praca od zaraz,,
"https://www.pracuj.pl/praca/consultant-project-manager-culture-engagement-and-talent-advisory-warszawa,oferta,1002005894?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Consultant - Project Manager - Culture, Engagement and Talent Advisory ","
SPENCER STUART STAR POLAND sp. z o.o.
",Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
"https://www.pracuj.pl/praca/customer-service-operations-analyst-anti-money-laundering-warszawa,oferta,1001977889?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Customer Service & Operations Analyst - Anti Money Laundering","
National Westminster Bank plc
",Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/hardware-system-test-engineer-masovian,oferta,9230902?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Hardware System Test Engineer","
Nokia
",mazowieckie,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/backend-engineer-for-cloud-healthcare-services-warszawa,oferta,1001967050?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Backend Engineer for Cloud Healthcare Services","
Samsung R&D Institute Poland
","Warszawa, Wola",Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/kyc-senior-analyst-with-german-warszawa,oferta,1001977761?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
KYC Senior Analyst with German","
Accenture Operations
",Warszawa,Umowa o pracę,Pełny etat,"praca hybrydowa, praca zdalna",Starszy specjalista (Senior),,Робота для іноземців,
"https://www.pracuj.pl/praca/data-scientist-for-recommendation-system-project-in-artificial-intelligence-team-warszawa,oferta,1001967100?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Data Scientist for Recommendation System Project in Artificial Intelligence Team,Samsung R&D Institute Poland,"Warszawa, Wola",Umowa o pracę,Pełny etat,praca hybrydowa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
