work_id,added_at,offer_url,position_name,company_name,company_location,type_of_contract,work_schedule,work_modes,employment_level,immediate_employment,ukrainian_without_polish_language,vacancies
12857,2022-12-02 13:46:35.668238+01,"https://www.pracuj.pl/praca/devops-engineer-warszawa,oferta,1002199928?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",DevOps Engineer,Ziflow Limited,Warszawa,Kontrakt B2B,Pełny etat,praca zdalna,Specjalista (Mid / Regular),,,
13683,2022-12-02 13:47:02.919357+01,"https://www.pracuj.pl/praca/it-support-manager-warszawa,oferta,1002225125?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",IT Support Manager,Michael Page,Warszawa,Umowa o pracę,Pełny etat,,Menedżer,,,
13749,2022-12-02 13:47:05.52579+01,"https://www.pracuj.pl/praca/supply-chain-manager-mazowieckie,oferta,9582288?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Supply Chain Manager,HR Consulting,mazowieckie,Umowa o pracę,Pełny etat,praca stacjonarna,Menedżer,,,
13750,2022-12-02 13:47:05.52776+01,"https://www.pracuj.pl/praca/senior-accountant-warszawa,oferta,1002247360?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Senior Accountant,Devire,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Starszy specjalista (Senior),,,
14858,2022-12-02 13:47:43.446961+01,"https://www.pracuj.pl/praca/c-embedded-engineer-masovian,oferta,9494055?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",C Embedded Engineer,Nokia,mazowieckie,Umowa o pracę,Pełny etat,praca zdalna,Specjalista (Mid / Regular),,,
19195,2022-12-02 13:50:19.447609+01,"https://www.pracuj.pl/praca/dostawca-kierowca-piaseczno,oferta,1002196356?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Dostawca/Kierowca,Auchan,Piaseczno,Umowa o pracę,Pełny etat,praca mobilna,Pracownik fizyczny,,,
20450,2022-12-02 13:51:02.635593+01,"https://www.pracuj.pl/praca/handlowiec-mazowieckie,oferta,9522953?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Handlowiec,Jaf Polska Sp. z o.o.,mazowieckie,Umowa o pracę,Pełny etat,praca mobilna,Specjalista (Mid / Regular),,,
12675,2022-12-02 13:46:31.10912+01,"https://www.pracuj.pl/praca/doradca-czyni-klienta-mazowieckie,oferta,9570853?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Doradca/czyni Klienta,OFFICE SERVICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,mazowieckie,"Umowa o pracę, Kontrakt B2B",Pełny etat,praca mobilna,Specjalista (Mid / Regular),,,
12676,2022-12-02 13:46:31.132908+01,"https://www.pracuj.pl/praca/sprzedawca-lada-praga-poludnie-warszawa-gen-romana-abrahama-1,oferta,1002232692?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Sprzedawca-Lada Praga Południe,Biedronka (Jeronimo Martins Polska S.A.),"Warszawa, Praga-Południe",Umowa o pracę,Pełny etat,praca stacjonarna,Pracownik fizyczny,praca od zaraz,,
12677,2022-12-02 13:46:31.136568+01,"https://www.pracuj.pl/praca/doradczyni-doradca-klienta-premium-warszawa-marcina-kasprzaka-2,oferta,1002250632?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Doradczyni / Doradca Klienta Premium,BNP Paribas Bank Polska S.A.,"Warszawa, Wola",Umowa o pracę,Pełny etat,praca stacjonarna,"Starszy specjalista (Senior), Ekspert",,,
12678,2022-12-02 13:46:31.139819+01,"https://www.pracuj.pl/praca/regionalny-przedstawiciel-handlowy-piaseczno-kineskopowa-1,oferta,1002250630?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Regionalny przedstawiciel handlowy,Kee Safety Sp. z o. o.,Piaseczno,Umowa o pracę,Pełny etat,praca stacjonarna,Młodszy specjalista (Junior),praca od zaraz,,
12679,2022-12-02 13:46:31.14301+01,"https://www.pracuj.pl/praca/magazynier-ozarow-mazowiecki-poznanska-129,oferta,1002250629?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Magazynier,MULTI-COLOR WARSAW POLAND S.A.,Ożarów Mazowiecki,Umowa o pracę,Pełny etat,praca stacjonarna,Pracownik fizyczny,praca od zaraz,,
12680,2022-12-02 13:46:31.145679+01,"https://www.pracuj.pl/praca/specjalista-ds-kadr-mazowieckie,oferta,9577071?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. Kadr,ALAB laboratoria Sp z o.o.,mazowieckie,Umowa o pracę,Pełny etat,praca stacjonarna,"Młodszy specjalista (Junior), Specjalista (Mid / Regular)",,,
12681,2022-12-02 13:46:31.148168+01,"https://www.pracuj.pl/praca/asystent-recepcjonista-asystentka-recepcjonistka-warszawa-zlota-59,oferta,1002250628?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Asystent-Recepcjonista / Asystentka-Recepcjonistka,Multi Poland Sp. z o.o.,"Warszawa, Śródmieście",Umowa o pracę,Pełny etat,praca stacjonarna,"Asystent, Młodszy specjalista (Junior)",,,
12682,2022-12-02 13:46:31.150463+01,"https://www.pracuj.pl/praca/seo-content-manager-mazowieckie,oferta,9567434?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",SEO Content Manager,Grupa Mediowa Time,mazowieckie,Umowa o pracę,Pełny etat,praca zdalna,Menedżer,,,
